Age,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,prob_take_rcc,prob_stay,eligible_for_1/4_monthly_income,eligible_for_1/3_monthly_income,severance_package,MonthlyIncome_category,MonthlyIncome_category_code,group_combined,severance_group,YearlyRate,role_Healthcare Representative,role_Human Resources,role_Laboratory Technician,role_Manager,role_Manufacturing Director,role_Research Director,role_Research Scientist,role_Sales Executive,role_Sales Representative,dept_Human Resources,dept_Research & Development,dept_Sales,employee_count,rcc_offer
,Travel_Rarely,866.0,,3,Medical,1,1469,4,Male,84,3,2,1,Single,8463,23490,0,Y,No,18,3,4,80,0,6,4,3,5,4,1,3,0.037895305,0.962104695,5,0,35967.75,"(8008.0, 9547.0]",15,15,7,10681.928573399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037895305,0.0,0.0,0.0,0.037895305,1,0.0
45.0,Non-Travel,1052.0,6.0,3,Medical,1,302,4,Female,57,2,3,4,Single,8865,16840,6,Y,No,12,3,4,80,0,23,2,3,19,7,12,8,0.395975398,0.604024602,10,9,75352.5,"(8008.0, 9547.0]",15,15,7,80018.70842784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395975398,0.0,0.0,0.0,0.395975398,1,0.0
32.0,Travel_Rarely,601.0,7.0,5,Marketing,1,1446,4,Male,97,3,2,4,Married,9204,23343,4,Y,No,12,3,3,80,1,7,3,2,4,3,0,3,0.011411071,0.988588929,4,0,36816.0,"(8008.0, 9547.0]",15,15,7,3196.423564236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011411071,0.0,0.0,0.0,0.011411071,1,0.0
38.0,Travel_Rarely,702.0,1.0,4,Life Sciences,1,230,1,Female,59,2,2,4,Single,8686,12930,4,Y,No,22,4,3,80,0,12,2,4,8,3,0,7,0.042739205,0.957260795,8,0,43430.0,"(8008.0, 9547.0]",15,15,7,6631.4150478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042739205,0.0,0.0,0.0,0.042739205,1,0.0
40.0,Travel_Rarely,299.0,25.0,4,Marketing,1,1318,4,Male,57,2,3,2,Single,9094,17235,2,Y,Yes,12,3,3,80,0,9,2,3,5,4,1,0,0.897515283,0.102484717,5,0,38649.5,"(8008.0, 9547.0]",15,15,7,185624.11083006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897515283,0.0,0.0,0.0,0.897515283,1,0.0
29.0,,1246.0,19.0,3,Life Sciences,1,1497,3,Male,77,2,2,3,Divorced,8620,23757,1,Y,No,14,3,3,80,2,10,3,3,10,7,0,4,0.004237618,0.995762382,10,0,47410.0,"(8008.0, 9547.0]",15,15,7,1208.077089912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004237618,0.0,0.0,0.0,0.004237618,1,0.0
46.0,Travel_Rarely,1125.0,10.0,3,Marketing,1,580,3,Female,94,2,3,4,Married,9071,11563,2,Y,Yes,19,3,3,80,1,15,3,3,3,2,1,2,0.160132009,0.839867991,3,0,34016.25,"(8008.0, 9547.0]",15,15,7,22219.277040803998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160132009,0.0,0.0,0.0,0.160132009,1,0.0
38.0,Travel_Rarely,770.0,10.0,4,Marketing,1,1119,3,Male,73,2,3,3,Divorced,8740,5569,0,Y,Yes,14,3,2,80,2,9,2,3,8,7,2,7,0.275955036,0.724044964,8,0,43700.0,"(8008.0, 9547.0]",15,15,7,18441.523145807998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275955036,0.0,0.0,0.0,0.275955036,1,0.0
34.0,Travel_Rarely,943.0,9.0,3,Life Sciences,1,1344,4,Male,86,3,3,4,Divorced,8500,5494,0,Y,No,11,3,4,80,1,10,0,2,9,7,1,6,0.002445522,0.997554478,9,0,44625.0,"(8008.0, 9547.0]",15,15,7,161.22837441599998,0.002445522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002445522,0.0,1,0.0
27.0,Travel_Frequently,994.0,8.0,3,Life Sciences,1,56,4,Male,37,3,3,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,0.065699348,0.934300652,9,0,45811.5,"(8008.0, 9547.0]",15,15,7,2345.4667236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065699348,0.0,0.0,0.0,0.065699348,1,0.0
